id,name,rating
1970324837384003,Sensitive Premium Resort & Spa,
1970324837384004,Kirman Belazur Resort & Spa Hotel,
1970324837384005,Orange County Belek - Family Concept,
1970324837384006,Dobedan Exclusive Hotel & Spa (Ex. Brand Alva Donna Exclusive Hotel&Spa),
1970324837384007,Aydinbey Famous Resort,
1970324837384008,Megasaray Club Belek,
1970324837384009,Titanic Deluxe Golf Belek,
1970324837384010,The Land Of Legends Kingdom,
1970324837384011,Adora Resort Hotel,
1970324837384012,Papillon Belvil Hotel,
1970324837384013,Sirene Belek Hotel,
1970324837384014,Kempinski Hotel The Dome Belek,
1970324837384015,Calista  Luxury  Resort Hotel,
1970324837384016,Amon Hotels Belek (Adult Only +16),
1970324837384017,Cullinan Belek,
1970324837384018,Selectum Luxury Resort Belek,
1970324837384019,Maxx Royal Belek Golf Resort,
1970324837384020,Ela Excellence Resort Belek,
1970324837384021,Adam & Eve,
1970324837384022,Susesi Luxury Resort,
1970324837384023,Spice Hotel & Spa,
1970324837384024,Voyage Belek Golf & Spa,
1970324837384025,Papillon Zeugma Relaxury,
1970324837384026,Papillon Ayscha Hotel Resort & SPA,
1970324837384027,Limak Atlantis Hotel,
1970324837384028,Bellis Deluxe Hotel,
1970324837384029,Xanadu Resort Hotel,
1970324837384030,Limak Arcadia Sport Resort ,
1970324837384031,Selectum Family Resort Belek,
1970324837384032,Granada Luxury Belek,
1970324837384033,Gloria Golf Resort,
1970324837384034,Gloria Verde Resort,
1970324837384035,Gloria Serenity Resort,
1970324837384036,Asteria Zeus Didim,
1970324837384037,Esra Family Suites,
1970324837384038,Garden Of Sun Hotel,
1970324837384039,Tuntas Beach Hotel Altinkum,
1970324837384040,Maxeria Blue Didyma Hotel,
1970324837384041,Long Beach Club Nature,
1970324837384042,Duja Didim,
1970324837384043,Anda Barut Collection ,
1970324837384044,Batihan Vadi Hotel,
1970324837384045,Liberty Golf & Resort Kusadasi,
1970324837384046,Eliada Hotel,
1970324837384047,Akbulut Hotel & Spa,
1970324837384048,Faustina Hotel & Spa,
1970324837384049,By Karaaslan Inn Hotel,
1970324837384050,DoubleTree by Hilton Kusadasi,
1970324837384051,Ramada Resort By Wyndham Kusadasi & Golf,
1970324837384052,Ramada Hotel & Suites by Wyndham Kusadasi,
1970324837384053,Korumar Hotel De Luxe,
1970324837384054,Kustur Club Holiday Village,
1970324837384055,Pine Bay Holiday Resort,
1970324837384056,Tusan Beach Resort,
1970324837384057,Derici Hotel,
1970324837384058,Palm Wings Ephesus Hotel,
1970324837384059,Aqua Fantasy Aquapark Hotel & Spa,
1970324837384060,Charisma De Luxe Hotel,
1970324837384061,Atlantique Holiday Club,
1970324837384062,Marti Beach Hotel,
1970324837384063,Ponz Hotel Kusadasi,
1970324837384064,Asena Hotel,
1970324837384065,The Grand Blue Sky Hotel,
1970324837384066,Infinity By Yelken Aquapark & Resort,
1970324837384067,Le Bleu Hotel & Resort,
1970324837384068,Palmin Hotel,
1970324837384069,Ephesia Resort Hotel,
1970324837384070,Ephesia Holiday Beach Club,
1970324837384071,Unique Life Style Hotel,
1970324837384072,Batihan Beach Resort & Spa,
1970324837384073,Arora Hotel,
1970324837384074,Signature Blue Resort,
1970324837384075,Omer Prime Holiday Resort,
1970324837384076,Olivera Resort Hotel,
1970324837384077,Grand Hotel Temizel,
1970324837384078,Palm Court Suites Ayvalik,
1970324837384079,Ayvalik Cinar Hotel,
1970324837384080,Billurcu Hotel,
1970324837384081,Bartin Test Hotel,
1970324837384082,"Swissotel Uludag, Bursa",
1970324837384083,Questa Thermal & SPA Hotel Eskisehir,
1970324837384084,Trademark Collection by Wyndham Operla Airport Hotels,
1970324837384085,Ramada Encore By Wyndham Istanbul Airport,
1970324837384086,"Park Inn by Radisson Istanbul Airport, Odayeri",
